instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2024-04-12,996,GarchFitError,"fit violated GARCH constraints: omega=0.17289410162415692, alpha=0.07163328322956815, beta=0.9283667167704318"
BTC-USD,student_t,2024-04-14,998,GarchFitError,"fit violated GARCH constraints: omega=0.13727972668224306, alpha=0.06265259647667215, beta=0.9373474035233278"
BTC-USD,student_t,2024-04-15,999,GarchFitError,"fit violated GARCH constraints: omega=0.13854293307091728, alpha=0.06228426476076883, beta=0.9377157352392316"
BTC-USD,student_t,2024-04-16,1000,GarchFitError,"fit violated GARCH constraints: omega=0.12051436873159976, alpha=0.05971763276369002, beta=0.9402823672363299"
BTC-USD,student_t,2024-04-18,1002,GarchFitError,"fit violated GARCH constraints: omega=0.12262365138780253, alpha=0.0594625730475162, beta=0.9405374269524838"
BTC-USD,student_t,2024-04-19,1003,GarchFitError,"fit violated GARCH constraints: omega=0.11895889860652384, alpha=0.05862180879175552, beta=0.9413781912083012"
BTC-USD,student_t,2024-04-21,1005,GarchFitError,"fit violated GARCH constraints: omega=0.12833607744553022, alpha=0.06013487803995782, beta=0.9398651219600432"
BTC-USD,student_t,2024-04-22,1006,GarchFitError,"fit violated GARCH constraints: omega=0.1528434771539661, alpha=0.06372655325751594, beta=0.9362734467452055"
BTC-USD,student_t,2024-04-23,1007,GarchFitError,"fit violated GARCH constraints: omega=0.14455402537791312, alpha=0.06210549533372551, beta=0.9378945367194729"
BTC-USD,student_t,2024-04-24,1008,GarchFitError,"fit violated GARCH constraints: omega=0.1448249362206304, alpha=0.06333019314382322, beta=0.9366698069577313"
BTC-USD,student_t,2024-04-26,1010,GarchFitError,"fit violated GARCH constraints: omega=0.1306776034989852, alpha=0.06249456630196516, beta=0.9375054336980349"
BTC-USD,student_t,2024-04-28,1012,GarchFitError,"fit violated GARCH constraints: omega=0.14682151016849246, alpha=0.06631272720765032, beta=0.9336872727923498"
BTC-USD,student_t,2024-04-30,1014,GarchFitError,"fit violated GARCH constraints: omega=0.17048288648123422, alpha=0.07101667357519872, beta=0.9289833264248013"
BTC-USD,student_t,2024-05-01,1015,GarchFitError,"fit violated GARCH constraints: omega=0.15216286215852515, alpha=0.0652651627148252, beta=0.9347348372877617"
BTC-USD,student_t,2024-05-02,1016,GarchFitError,"fit violated GARCH constraints: omega=0.1413552763815573, alpha=0.06330232482079308, beta=0.9366976751792071"
